Date,Open,High,Low,Close,Volume
2023-09-10 17:14:00,25757.53,25757.54,25757.53,25757.53,0.03452
2023-09-10 17:15:00,25757.53,25762.92,25755.04,25762.88,0.46933
2023-09-10 17:16:00,25762.88,25776.5,25762.88,25774.6,0.44438
2023-09-10 17:17:00,25774.01,25774.01,25767.96,25771.86,0.76057
2023-09-10 17:18:00,25771.8,25771.8,25771.29,25771.3,0.06718
2023-09-10 17:19:00,25771.29,25771.29,25770.5,25770.51,0.06954
2023-09-10 17:20:00,25770.51,25771.79,25763.88,25763.88,0.53781
2023-09-10 17:21:00,25763.88,25763.88,25758.03,25759.84,0.13757
2023-09-10 17:22:00,25759.83,25759.84,25759.83,25759.83,0.08943
2023-09-10 17:23:00,25759.84,25760.5,25759.84,25760.49,0.31684
2023-09-10 17:24:00,25760.49,25760.5,25760.49,25760.49,0.18167
2023-09-10 17:25:00,25760.49,25760.49,25753.22,25755.01,0.32822
2023-09-10 17:26:00,25755.04,25755.04,25755.03,25755.04,0.02714
2023-09-10 17:27:00,25755.04,25755.04,25747.41,25747.41,0.08412
2023-09-10 17:28:00,25747.41,25747.41,25745.7,25745.7,0.01077
2023-09-10 17:29:00,25745.71,25753.14,25745.71,25748.45,0.67905
2023-09-10 17:30:00,25748.02,25748.02,25745.28,25745.29,0.50897
2023-09-10 17:31:00,25757.37,25757.38,25746.43,25750.74,0.23354
2023-09-10 17:32:00,25750.73,25762.15,25748.54,25762.15,0.13674
2023-09-10 17:33:00,25763.38,25783.56,25763.38,25783.55,0.62731
2023-09-10 17:34:00,25783.55,25783.56,25772.56,25772.56,0.28509
2023-09-10 17:35:00,25774.04,25778.13,25770.65,25770.65,0.23937
2023-09-10 17:36:00,25770.65,25774.22,25768.66,25773.1,0.15892
2023-09-10 17:37:00,25773.09,25783.55,25773.09,25781.97,0.07054
2023-09-10 17:38:00,25781.96,25788.06,25781.96,25787.91,0.04254
2023-09-10 17:39:00,25787.27,25787.27,25776.16,25776.16,0.11681
2023-09-10 17:40:00,25776.83,25784.25,25776.83,25784.25,0.20812
2023-09-10 17:41:00,25784.26,25796.23,25784.25,25794.63,0.29325
2023-09-10 17:42:00,25794.63,25794.63,25790.72,25790.73,0.1841
2023-09-10 17:43:00,25793.3,25793.3,25789.13,25789.13,0.02809
2023-09-10 17:44:00,25789.14,25792.52,25787.44,25792.52,0.14445
2023-09-10 17:45:00,25792.52,25792.53,25785.41,25785.41,0.22329
2023-09-10 17:46:00,25783.46,25785.41,25783.46,25785.4,0.03857
2023-09-10 17:47:00,25785.4,25785.61,25785.4,25785.6,0.02469
2023-09-10 17:48:00,25785.61,25785.61,25779.09,25779.09,0.12026
2023-09-10 17:49:00,25776.22,25776.22,25772.35,25772.35,0.04747
2023-09-10 17:50:00,25772.35,25777.34,25772.35,25777.27,0.08997
2023-09-10 17:51:00,25777.27,25777.27,25776.14,25776.14,0.05664
2023-09-10 17:52:00,25776.15,25782.05,25776.14,25778.81,0.6767
2023-09-10 17:53:00,25778.81,25778.81,25772.34,25772.34,0.26964
2023-09-10 17:54:00,25772.35,25772.35,25772.34,25772.34,0.03882
2023-09-10 17:55:00,25772.34,25775.92,25772.34,25775.92,0.23142
2023-09-10 17:56:00,25775.91,25782.04,25772.43,25774.04,2.05012
2023-09-10 17:57:00,25778.74,25778.74,25772.34,25772.35,0.08731
2023-09-10 17:58:00,25772.35,25772.35,25772.35,25772.35,0.0039
2023-09-10 17:59:00,25772.34,25772.35,25772.34,25772.34,0.02144
