Date,Open,High,Low,Close,Volume
2022-11-02,0.7113,0.805,0.6567,0.7819,8892789.89
2022-11-03,0.782,0.7899,0.7336,0.7698,3836884.7
2022-11-04,0.7695,0.7744,0.58,0.6231,9300643.99
2022-11-05,0.6226,0.6459,0.5971,0.6399,4514380.07
2022-11-06,0.641,0.7112,0.6261,0.708,4687034.53
2022-11-07,0.7082,0.735,0.6594,0.7079,5625325.46
2022-11-08,0.7079,1.2563,0.672,1.0312,17216925.46
2022-11-09,1.0263,1.5498,1.0182,1.496,11288977.27
2022-11-10,1.4948,1.532,0.93,1.0381,10714009.74
2022-11-11,1.0386,1.23,1.0141,1.0553,6278284.67
2022-11-12,1.0551,1.16,1.0449,1.1212,2224635.54
2022-11-13,1.1236,1.2326,1.0812,1.1938,2237747.13
2022-11-14,1.1939,1.2961,1.0409,1.147,4210835.47
2022-11-15,1.1466,1.1649,1.0451,1.1215,2505751.39
2022-11-16,1.124,1.2604,1.087,1.1945,2450130.53
2022-11-17,1.1965,1.2732,1.1629,1.2318,1722488.95
2022-11-18,1.2326,1.2342,1.158,1.2021,1283981.07
2022-11-19,1.2029,1.2381,1.1622,1.1929,700046.39
2022-11-20,1.1935,1.3865,1.1723,1.3611,1956793.54
2022-11-21,1.3611,1.5199,1.3415,1.4476,3114784.21
2022-11-22,1.4453,1.5343,1.35,1.3589,2320101.73
2022-11-23,1.3559,1.3883,1.21,1.2211,2045569.15
2022-11-24,1.2272,1.24,1.1322,1.1719,1595490.5
2022-11-25,1.172,1.262,1.1584,1.186,1238399.43
2022-11-26,1.1841,1.1917,1.08,1.1637,1224498.24
2022-11-27,1.1642,1.2074,1.1166,1.1983,793129.27
2022-11-28,1.1997,1.3122,1.176,1.266,1690919.12
2022-11-29,1.266,1.2896,1.101,1.1316,1910420.43
2022-11-30,1.1326,1.1402,0.8937,0.9315,3842311.59
2022-12-01,0.9315,0.9999,0.92,0.97,1749412.06
2022-12-02,0.97,0.995,0.9252,0.9293,1618619.74
2022-12-03,0.9306,1.0619,0.9029,1.0521,1582696.0
2022-12-04,1.0519,1.0535,0.9452,0.9599,1434867.59
2022-12-05,0.9613,1.0329,0.904,1.0016,2736060.33
2022-12-06,1.0043,1.0485,0.9686,0.9764,1559744.47
2022-12-07,0.974,1.1026,0.9641,1.0757,1925098.04
2022-12-08,1.0712,1.097,0.9176,0.9502,2041177.66
2022-12-09,0.9514,0.9748,0.9256,0.9661,1980773.49
2022-12-10,0.9658,0.9701,0.9386,0.9618,1109927.06
2022-12-11,0.9617,0.9742,0.94,0.9653,921354.15
2022-12-12,0.9668,0.995,0.9463,0.9521,1607378.95
2022-12-13,0.9496,0.975,0.8591,0.8889,3166455.08
2022-12-14,0.8887,0.914,0.8548,0.9041,2541087.16
2022-12-15,0.9041,0.9639,0.9008,0.9562,2005291.61
2022-12-16,0.9536,1.0996,0.9364,1.0829,2520186.06
2022-12-17,1.083,1.0924,1.0363,1.0435,1142815.91
2022-12-18,1.0439,1.0819,1.02,1.0535,842395.09
2022-12-19,1.055,1.1305,1.0288,1.09,1234265.58
2022-12-20,1.0905,1.1031,0.947,0.9813,1783230.74
2022-12-21,0.9788,1.01,0.9611,0.9826,831103.82
2022-12-22,0.9834,1.055,0.93,0.9782,1322218.29
2022-12-23,0.978,0.9903,0.9422,0.9741,1081201.46
2022-12-24,0.9731,0.9832,0.9572,0.9709,396003.72
2022-12-25,0.9712,1.028,0.9631,0.9751,798624.51
2022-12-26,0.977,0.9903,0.9502,0.957,618974.23
2022-12-27,0.957,1.0158,0.9421,0.9913,939485.35
2022-12-28,0.9913,1.0612,0.984,1.0401,1092417.97
2022-12-29,1.0406,1.0489,1.0068,1.015,672131.9
2022-12-30,1.0174,1.0629,1.0124,1.0172,631667.3
2022-12-31,1.0178,1.0371,1.0002,1.0284,465609.36
2023-01-01,1.0294,1.0399,1.0122,1.0208,345368.71
2023-01-02,1.0231,1.037,0.962,0.9882,912235.59
2023-01-03,0.989,1.0093,0.9763,0.9855,633756.15
2023-01-04,0.9868,0.9929,0.8586,0.8898,2819279.13
2023-01-05,0.8898,0.918,0.8837,0.9028,920479.16
2023-01-06,0.902,0.9339,0.8487,0.8653,1567870.28
2023-01-07,0.8677,0.8838,0.8631,0.8781,557832.04
2023-01-08,0.8758,0.888,0.813,0.8232,886577.71
2023-01-09,0.8253,0.8361,0.7195,0.7616,3230349.21
2023-01-10,0.7633,0.77,0.71,0.7362,1692709.8
2023-01-11,0.7355,0.763,0.63,0.6429,1883966.28
2023-01-12,0.6422,0.662,0.5931,0.6135,5194922.29
2023-01-13,0.6132,0.63,0.5688,0.582,2739664.47
2023-01-14,0.5821,0.5839,0.4078,0.4893,6476512.21
2023-01-15,0.4893,0.517,0.4759,0.4875,2831451.55
