Date,Open,High,Low,Close,Volume
2022-11-07,0.7082,1.5498,0.6594,1.1938,55585905.27
2022-11-14,1.1939,1.3865,1.0409,1.3611,14830027.34
2022-11-21,1.3611,1.5343,1.08,1.1983,12331972.53
2022-11-28,1.1997,1.3122,0.8937,0.9599,13829246.53
2022-12-05,0.9613,1.1026,0.904,0.9653,12274135.2
2022-12-12,0.9668,1.0996,0.8548,1.0535,13825609.86
2022-12-19,1.055,1.1305,0.93,0.9751,7446648.12
2022-12-26,0.977,1.0629,0.9421,1.0208,4765654.82
2023-01-02,1.0231,1.037,0.813,0.8232,8298030.06
2023-01-09,0.8253,0.8361,0.4078,0.4875,24049575.81
2023-01-16,0.4877,0.525,0.395,0.4291,27808941.29
2023-01-23,0.4299,0.51,0.4053,0.4167,22588959.09
2023-01-30,0.4173,0.4932,0.3678,0.422,30871422.77
2023-02-06,0.422,0.519,0.3688,0.502,24713060.97
2023-02-13,0.5021,0.5438,0.3367,0.3713,44273221.58
2023-02-20,0.3717,0.4543,0.3489,0.3946,32700259.27
2023-02-27,0.3953,0.4636,0.3686,0.4483,27358841.51
2023-03-06,0.4488,0.6182,0.4088,0.423,32364963.75
2023-03-13,0.4231,0.4318,0.254,0.2838,83800349.09
2023-03-20,0.2834,0.3166,0.2434,0.2709,56395472.73
2023-03-27,0.2704,0.2989,0.246,0.2626,38697359.23
2023-04-03,0.2626,0.273,0.2179,0.2403,47874068.71
2023-04-10,0.2404,0.2442,0.1667,0.1726,82681338.2
2023-04-17,0.1726,0.2439,0.171,0.2334,62263833.12
2023-04-24,0.2336,0.256,0.2031,0.2314,49674737.59
2023-05-01,0.231,0.2504,0.1866,0.227,61600591.55
2023-05-08,0.2271,0.27,0.2205,0.2487,47509919.13
2023-05-15,0.2489,0.2588,0.2325,0.2473,34456943.07
2023-05-22,0.2477,0.2627,0.204,0.2107,37306182.67
2023-05-29,0.2105,0.2327,0.2044,0.2164,46442630.43
2023-06-05,0.2169,0.277,0.2115,0.2636,51940129.97
2023-06-12,0.2638,0.3169,0.2512,0.2741,32595646.34
2023-06-19,0.2743,0.2839,0.19,0.2031,72130842.18
2023-06-26,0.203,0.231,0.1817,0.1894,78176528.63
2023-07-03,0.1894,0.2245,0.1774,0.2124,60495197.04
2023-07-10,0.2124,0.2176,0.1656,0.1854,61922787.66
2023-07-17,0.1856,0.202,0.1827,0.193,29233441.41
2023-07-24,0.193,0.2057,0.1925,0.1993,13999969.68
2023-07-31,0.1993,0.2114,0.195,0.2072,12627750.2
2023-08-07,0.2074,0.2145,0.1962,0.2051,9198691.34
2023-08-14,0.2053,0.3032,0.2013,0.246,16818554.64
2023-08-21,0.2455,0.2807,0.2381,0.2536,12309910.78
2023-08-28,0.2536,0.271,0.2233,0.26,14419255.12
2023-09-04,0.2602,0.275,0.245,0.2668,8105788.68
2023-09-11,0.2666,0.2983,0.2533,0.2641,13065906.5
2023-09-18,0.2641,0.285,0.2475,0.28,9532536.91
2023-09-25,0.2804,0.2866,0.2136,0.2263,14860736.33
2023-10-02,0.2258,0.2513,0.225,0.2456,12721654.53
2023-10-09,0.2458,0.2744,0.2452,0.2645,7100113.31
2023-10-16,0.2643,0.2697,0.2354,0.2361,8693187.17
2023-10-23,0.2361,0.2377,0.1872,0.202,22543061.95
2023-10-30,0.2011,0.206,0.1968,0.202,4918139.71
